word,score
devoted,3
devastating,-2
agog,2
infatuation,2
apeshit,-3
intense,1
appreciating,2
jeopardy,-2
authority,1
laughing,1
beating,-1
lol,3
bold,2
manipulation,-1
casualty,-2
mocked,-2
charges,-2
mournful,-2
combats,-1
once-in-a-lifetime,3
complains,-2
overreacts,-2
controversially,-2
perpetrator,-2
corpse,-1
piteous,-2
damned,-4
prepared,1
dehumanizes,-2
protest,-2
diffident,-2
yummy,3
amusement,3
insane,-2
applauds,2
inviting,1
attracts,1
justified,2
backing,2
lifesaver,4
betraying,-3
lowest,-1
bored,-2
messed,-2
burdens,-2
misleading,-3
cheat,-3
neglecting,-2
clears,1
numb,-1
congratulate,2
pardoned,2
cruelty,-3
popular,3
deceives,-3
progress,2
demands,-1
denier,-2
derision,-2
desirous,2
died,-3
determined,2
infuriated,-2
amazed,2
insipid,-2
antagonistic,-2
irresistible,2
arrested,-3
laughed,1
award,3
loom,-1
benefits,2
lunatics,-3
blurry,-2
misinformed,-2
burdened,-2
mourn,-2
chaotic,-2
obsessed,2
colluding,-3
outcry,-2
complain,-2
peril,-2
contestable,-2
pissed,-4
cramp,-1
poverty,-1
damages,-3
promoted,1
dehumanize,-2
luckily,3
bitterly,-2
disappointment,-2
yes,1
indecisive,-2
agonized,-3
interrupt,-2
appease,2
justifiably,2
attacking,-1
lied,-2
bankrupt,-3
mature,2
brainwashing,-3
moans,-2
cares,2
murdering,-3
cheers,2
nifty,2
cleared,1
overstatement,-2
confusing,-2
poised,-2
critics,-2
pretty,1
deceive,-3
delight,3
delay,-1
derail,-2
depressed,-2
accusing,-2
admire,3
alive,1
anguish,-3
arrests,-2
averts,-1
beauties,3
blissful,3
brooding,-2
censors,-2
collapsed,-2
commits,1
courage,2
contagious,-1
cut,-1
degraded,-2
difficult,-1
relieving,2
agonise,-3
apologising,-1
astonished,2
badass,-3
betrays,-3
bother,-2
cancer,-1
cheater,-3
choking,-2
confidence,2
criminals,-3
deafening,-1
absolves,2
ability,2
accuse,-2
accidents,-2
rejecting,-1
refused,-2
alert,-1
innovative,2
amusements,3
intact,2
arrogant,-2
jailed,-2
avert,-1
landmark,2
beatific,3
loathing,-3
boastful,-2
mandatory,-1
broken,-1
misinformation,-2
censored,-2
motivation,1
combat,-1
offline,-1
complained,-2
overreact,-2
constrained,-2
perfects,2
cornered,-2
piss,-4
damn,-4
prays,1
dehumanized,-2
protect,1
rescues,2
disappears,-1
aghast,-2
ineffective,-2
apocalyptic,-2
intrigues,1
asset,2
jumpy,-1
backs,1
liars,-3
betrayed,-3
lovelies,3
brave,2
mercy,2
cancels,-1
moaning,-2
cheated,-3
negativity,-2
clearly,1
not working,-3
congrats,2
paradise,3
cruel,-3
poor,-2
deceived,-3
problem,-2
provoked,-1
proudly,2
rant,-3
rageful,-2
dickhead,-4
devastated,-2
insecure,-2
inspiring,3
irritating,-3
laughting,1
lmao,4
marvelous,3
mocks,-2
nerves,-1
opportunity,2
overselling,-2
pity,-2
perplexed,-2
pressured,-2
protesting,-2
inconsiderate,-2
yucky,-2
inferior,-2
intimidated,-2
joyful,3
like,2
loss,-3
methodical,2
misreporting,-2
mourns,-2
obliterate,-2
pardons,2
positively,2
privileged,2
demanded,-1
denied,-2
derides,-2
desired,2
recommend,2
regretting,-2
inquisition,-2
inspiration,2
irresolute,-2
laugh,1
limitation,-1
lucky,3
mirth,3
monopolized,-2
obscene,-2
optimism,2
persecutes,-2
passive,-1
postponed,-1
promote,1
wronged,-2
disadvantage,-2
ineffectively,-2
interrupted,-2
justice,2
libelous,-2
loomed,-1
masterpieces,4
missed,-2
murderer,-2
nice,3
oversimplified,-2
please,1
pretends,-1
pseudoscience,-3
racism,-3
rants,-3
reaches,1
illiteracy,-2
immobilized,-1
indestructible,2
agonised,-3
inspirational,2
annoying,-2
itchy,-2
approved,2
lagging,-2
awaited,-1
loathe,-3
beloved,3
lurks,-1
blocks,-1
misunderstand,-2
carefully,2
moron,-3
chances,2
odd,-2
comforting,2
outraged,-3
competitive,2
petrified,-2
cowardly,-2
peacefully,2
contending,-1
poisons,-2
crushing,-1
prosecuted,-2
defenseless,-2
imprisoned,-2
yeah,1
infuriates,-2
allergic,-2
intimidating,-2
apologizing,-1
joyless,-2
astoundingly,3
lethargic,-2
bastards,-5
lovable,3
bitches,-5
medal,3
boycotting,-2
misbehaving,-2
buoyant,2
naive,-2
cheering,2
noble,2
cock,-5
oxymoron,-1
confuse,-2
powerless,-2
daring,2
prevents,-1
dedicated,2
humiliated,-3
hopefully,2
ignored,-2
humourous,2
regrets,-2
regretful,-2
indignant,-2
agreeable,2
interests,1
anxious,-2
irreversible,-1
ashamed,-2
kind,2
awful,-3
litigation,-1
bereaved,-2
manipulating,-1
bomb,-1
mock,-2
catastrophic,-4
mourned,-2
charming,3
ominous,3
comfort,2
overreaction,-2
conciliate,2
perjury,-3
convinced,1
perturbed,-2
craziest,-2
prblms,-2
danger,-2
protects,1
deject,-2
misinterpreted,-2
calmed,2
rejoice,4
dirtiest,-2
insensitivity,-2
ambivalent,-1
irony,-1
applaud,2
killing,-3
attracting,2
lawsuits,-2
barrier,-2
loose,-3
blamed,-2
matters,1
bribe,-3
murderous,-3
cherishes,2
novel,2
clouded,-1
pardon,2
congratulations,2
poorest,-2
crushed,-2
profiteer,-2
deception,-3
punitive,-2
questionable,-2
raptured,2
ratified,2
immune,1
illness,-2
aggravating,-2
