user_id,platform,source
10667,web,tapjoy
10670,web,tapjoy
10671,web,tapjoy
10676,web,organic
10683,web,organic
10686,web,organic
10687,web,organic
10691,web,organic
10693,web,organic
10694,web,organic
10698,web,tapjoy
10699,web,tapjoy
10700,web,tapjoy
10701,web,tapjoy
10702,android,organic
10705,android,tapjoy
10706,android,tapjoy
10707,android,tapjoy
10708,android,tapjoy
10711,android,organic
10714,android,tapjoy
10716,android,tapjoy
10717,android,organic
10719,android,organic
10720,android,tapjoy
10723,android,organic
10724,android,organic
10725,android,tapjoy
10726,android,organic
10728,android,tapjoy
10732,android,tapjoy
10736,android,tapjoy
10737,android,tapjoy
10738,android,tapjoy
10739,android,tapjoy
10740,android,organic
10742,android,tapjoy
10745,android,organic
10748,android,organic
10749,android,tapjoy
10750,android,tapjoy
10751,android,tapjoy
10752,android,tapjoy
10753,android,tapjoy
10754,android,tapjoy
10755,android,organic
10756,android,tapjoy
10757,android,tapjoy
10758,android,tapjoy
10761,android,tapjoy
10762,android,tapjoy
10763,android,tapjoy
10770,android,tapjoy
10773,android,tapjoy
10776,android,tapjoy
10778,android,tapjoy
10779,android,organic
10781,android,tapjoy
10782,android,tapjoy
10785,android,tapjoy
10786,android,tapjoy
10788,android,organic
10789,android,organic
10790,android,tapjoy
10792,android,organic
10794,android,tapjoy
10798,android,organic
10800,android,tapjoy
10801,android,organic
10802,android,tapjoy
10803,android,tapjoy
10805,android,tapjoy
10806,android,tapjoy
10807,android,tapjoy
10808,android,tapjoy
10810,android,tapjoy
10811,android,tapjoy
10812,android,tapjoy
10813,android,organic
10814,android,tapjoy
10815,android,tapjoy
10818,android,tapjoy
10819,android,tapjoy
10820,android,tapjoy
10821,android,tapjoy
10825,android,tapjoy
10827,android,tapjoy
10829,android,organic
10830,android,tapjoy
10831,android,tapjoy
10832,android,tapjoy
10836,android,organic
10839,android,tapjoy
10841,android,tapjoy
10843,android,organic
10844,android,organic
10847,android,tapjoy
10848,android,tapjoy
10849,android,organic
10851,android,tapjoy
10852,android,tapjoy
10861,iOS,tapjoy
10862,iOS,tapjoy
10863,iOS,organic
10864,iOS,tapjoy
10865,iOS,tapjoy
10866,iOS,tapjoy
10867,iOS,tapjoy
10869,iOS,organic
10871,iOS,organic
10872,iOS,organic
10878,iOS,tapjoy
10880,iOS,tapjoy
10883,iOS,tapjoy
10884,iOS,tapjoy
10885,iOS,organic
10886,iOS,tapjoy
10888,iOS,tapjoy
10890,iOS,tapjoy
10891,iOS,tapjoy
10892,iOS,organic
10893,iOS,organic
10894,iOS,tapjoy
10895,iOS,tapjoy
10896,iOS,organic
10897,iOS,tapjoy
10899,iOS,organic
10901,iOS,organic
10902,iOS,tapjoy
10903,iOS,tapjoy
10904,iOS,organic
10905,iOS,tapjoy
10907,iOS,organic
10910,iOS,tapjoy
10911,iOS,organic
10917,iOS,organic
10919,iOS,organic
10922,iOS,tapjoy
10924,iOS,tapjoy
10928,iOS,organic
10929,iOS,tapjoy
10930,iOS,organic
10931,iOS,tapjoy
10933,iOS,organic
10936,iOS,tapjoy
10937,iOS,tapjoy
10938,iOS,tapjoy
10940,iOS,tapjoy
10945,iOS,tapjoy
10946,iOS,tapjoy
10947,iOS,organic
10948,iOS,tapjoy
10950,iOS,organic
10951,iOS,organic
10952,iOS,organic
10953,iOS,organic
10954,iOS,organic
10955,iOS,tapjoy
