id,platform,source
677728,web,organic
677772,web,organic
680158,android,organic
680206,android,tapjoy
682526,android,tapjoy
682542,android,tapjoy
682592,android,organic
687362,android,organic
687398,android,tapjoy
687422,android,tapjoy
687430,android,tapjoy
689752,android,tapjoy
689754,android,tapjoy
692166,iOS,tapjoy
692172,iOS,organic
692176,iOS,tapjoy
692206,iOS,tapjoy
692216,iOS,tapjoy
692224,iOS,organic
694552,iOS,tapjoy
694582,iOS,tapjoy
694616,iOS,tapjoy
694620,iOS,tapjoy
696948,iOS,tapjoy
696966,iOS,tapjoy
699366,iOS,tapjoy
699396,iOS,tapjoy
701780,iOS,organic
701798,iOS,organic
709036,iOS,organic
711338,iOS,tapjoy
711370,iOS,tapjoy
711426,iOS,tapjoy
711428,iOS,organic
713732,web,tapjoy
713760,web,tapjoy
716130,web,organic
716170,web,organic
716196,web,tapjoy
716200,web,organic
718560,web,tapjoy
718564,web,tapjoy
718574,web,organic
720990,android,organic
723326,android,tapjoy
725752,android,tapjoy
725778,android,tapjoy
725798,android,organic
728174,iOS,tapjoy
730600,iOS,tapjoy
730614,iOS,tapjoy
732916,iOS,organic
732940,iOS,tapjoy
735432,iOS,tapjoy
737710,iOS,organic
737772,iOS,tapjoy
740134,iOS,organic
740170,iOS,tapjoy
740186,iOS,tapjoy
740206,iOS,organic
742556,iOS,tapjoy
742588,iOS,tapjoy
744958,iOS,organic
744972,iOS,tapjoy
747398,web,tapjoy
749708,web,tapjoy
749732,web,tapjoy
749770,web,organic
754598,android,organic
757016,android,organic
759338,android,organic
759390,android,organic
761736,android,organic
761802,android,organic
761816,android,organic
764110,iOS,tapjoy
764116,iOS,organic
764160,iOS,tapjoy
764166,iOS,organic
766546,iOS,organic
766620,iOS,organic
766624,iOS,organic
768924,iOS,organic
768926,iOS,organic
768982,iOS,organic
771370,iOS,organic
771374,iOS,organic
771378,iOS,organic
773732,web,organic
773740,web,organic
773786,web,organic
776222,web,organic
776236,web,organic
778536,android,organic
778560,android,admob
778598,android,admob
780970,android,admob
780992,android,organic
781004,android,admob
781006,android,admob
783322,android,admob
783326,android,organic
783398,android,admob
785716,android,admob
785756,android,organic
785804,android,admob
785810,android,admob
788138,android,admob
788190,android,admob
788192,android,admob
790574,android,organic
790598,android,organic
790638,android,admob
792968,android,admob
793008,android,admob
793010,android,admob
793022,android,admob
797732,iOS,organic
797822,iOS,organic
797832,iOS,admob
800188,iOS,organic
800206,iOS,organic
802550,iOS,organic
802586,iOS,admob
804944,iOS,organic
804960,iOS,admob
804990,iOS,organic
807366,web,organic
807412,web,admob
809788,web,admob
809790,web,admob
809798,web,admob
809804,web,admob
809808,web,organic
812142,web,admob
814638,android,organic
816972,android,admob
819412,android,admob
819434,android,admob
821760,android,organic
821778,android,admob
824160,android,admob
826526,android,admob
826528,android,organic
828964,iOS,organic
831312,iOS,organic
831318,iOS,admob
831344,iOS,admob
836194,iOS,admob
836200,iOS,organic
838560,iOS,organic
838586,iOS,organic
843330,iOS,admob
843370,iOS,organic
845724,web,organic
845794,web,admob
848190,web,organic
848206,web,admob
850556,web,admob
850578,web,admob
852944,android,organic
852966,android,organic
852994,android,organic
852996,android,organic
855396,android,admob
857752,android,admob
857758,android,admob
857764,android,organic
857780,android,organic
857826,android,admob
860170,iOS,admob
860176,iOS,organic
860184,iOS,organic
860186,iOS,organic
862558,iOS,organic
864996,iOS,admob
869780,iOS,admob
869790,iOS,organic
869794,iOS,organic
872188,iOS,admob
872192,iOS,admob
874548,iOS,admob
874570,iOS,admob
874588,iOS,admob
874606,iOS,admob
876926,iOS,admob
876956,iOS,admob
876978,iOS,admob
876998,iOS,organic
881734,iOS,admob
881748,iOS,admob
881764,iOS,admob
881802,iOS,admob
884154,web,admob
884198,web,organic
886544,web,admob
886552,web,organic
891332,iOS,organic
891390,iOS,organic
